title,release_year,genres,runtime,director,vote_average,vote_count,popularity,budget,revenue
Carrington,1995,"History, Drama, Romance",121,Christopher Hampton,6.142,67,3.781,0,0
Dead Man Walking,1995,Drama,122,Tim Robbins,7.32,1433,5.9642,11000000,39363635
Across the Sea of Time,1995,"Adventure, History, Drama, Family",51,Stephen Low,5.2,5,0.2116,0,16015639
It Takes Two,1995,"Comedy, Family, Romance",101,Andy Tennant,6.513,934,3.8535,19474589,19474589
Clueless,1995,"Comedy, Romance",97,Amy Heckerling,7.263,4646,4.9634,12000000,56631572
"Cry, the Beloved Country",1995,Drama,106,Darrell James Roodt,6.7,26,4.4612,0,676525
Richard III,1995,"Drama, War",104,Richard Loncraine,6.721,188,5.0523,0,2748518
Dead Presidents,1995,"Action, Crime, Drama, Thriller, War",119,Albert Hughes,6.653,310,1.5554,10000000,24100000
Restoration,1995,"Drama, Romance",117,Michael Hoffman,6.0,126,8.6785,19000000,4005941
Mortal Kombat,1995,"Action, Fantasy",101,Paul W. S. Anderson,5.866,2409,3.8225,18000000,122195920
To Die For,1995,"Drama, Comedy, Crime",106,Gus Van Sant,6.579,844,3.8088,20000000,21300000
How to Make an American Quilt,1995,"Drama, Romance",116,Jocelyn Moorhouse,6.4,189,4.1259,10000000,41200020
Se7en,1995,"Crime, Mystery, Thriller",127,David Fincher,8.4,22288,13.2001,33000000,327311859
Pocahontas,1995,"Adventure, Animation, Family, Romance",81,Mike Gabriel,6.911,5918,11.5591,55000000,346079773
When Night Is Falling,1995,"Drama, Romance",96,Patricia Rozema,6.3,86,1.6694,0,0
The Usual Suspects,1995,"Drama, Crime, Thriller",106,Bryan Singer,8.2,10965,7.8931,6000000,23300000
Guardian Angel,1994,"Action, Thriller, Drama",97,Richard W. Munchkin,4.4,17,2.6824,0,0
Mighty Aphrodite,1995,"Comedy, Romance",95,Woody Allen,6.714,721,6.3224,15000000,26000000
Lamerica,1994,Drama,112,Gianni Amelio,7.1,62,6.3384,0,0
The Big Green,1995,"Family, Comedy",100,Holly Goldberg Sloan,5.557,192,2.4283,0,0
Georgia,1995,Drama,115,Ulu Grosbard,5.717,46,3.6585,0,1110974
Kids of the Round Table,1995,"Family, Fantasy, Comedy, Adventure",89,Robert Tinnell,4.4,7,1.7684,0,0
Home for the Holidays,1995,"Comedy, Drama, Romance",103,Jodie Foster,6.2,187,5.9421,20000000,22119269
The Postman,1994,"Comedy, Drama, Romance",109,Michael Radford,7.929,1181,1.1885,3000000,33000000
The Confessional,1995,"Thriller, Drama, Mystery",100,Robert Lepage,5.955,22,2.8113,0,0
The Indian in the Cupboard,1995,"Adventure, Family, Fantasy",96,Frank Oz,6.456,655,1.8651,45000000,35700000
Eye for an Eye,1996,"Thriller, Drama",101,John Schlesinger,6.183,442,2.8262,20000000,26877589
Mr. Holland's Opus,1995,"Drama, Music",143,Stephen Herek,6.9,435,3.4917,31000000,106300000
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"Comedy, Crime",89,Paris Barclay,7.022,1416,5.9834,3800000,20100000
Two If by Sea,1996,"Comedy, Romance",96,Bill Bennett,4.938,97,2.6959,0,10658278
Bio-Dome,1996,Comedy,95,Jason Bloom,4.522,387,3.7208,8500000,13400000
Lawnmower Man 2: Beyond Cyberspace,1996,"Science Fiction, Horror, Action, Thriller",92,Farhad Mann,3.29,164,1.5325,15000000,2409225
Two Bits,1995,"Drama, Family",85,James Foley,5.7,62,2.1736,0,0
French Twist,1995,"Comedy, Romance",95,Josiane Balasko,6.051,315,6.9177,0,0
Friday,1995,"Comedy, Drama",91,F. Gary Gray,7.1,1932,4.729,3500000,28215918
From Dusk Till Dawn,1996,"Horror, Action, Thriller, Crime",108,Robert Rodriguez,7.03,6246,4.9671,19000000,25800000
Fair Game,1995,Action,91,Andrew Sipes,5.132,322,3.9313,50000000,11500000
Kicking and Screaming,1995,"Comedy, Drama, Romance",96,Noah Baumbach,6.2,228,2.344,0,718490
Les Miserables,1995,"Drama, History",175,Claude Lelouch,6.6,82,3.7186,0,0
Bed of Roses,1996,"Drama, Romance",87,Michael Goldenberg,5.8,120,2.467,0,19030691
Big Bully,1996,Comedy,90,Steve Miner,4.553,75,5.1943,15000000,2042530
Screamers,1995,"Horror, Science Fiction, War",108,Christian Duguay,6.21,571,3.9959,20000000,5781885
Nico Icon,1995,Documentary,70,Susanne Ofteringer,7.5,10,1.8113,0,0
The Crossing Guard,1995,"Drama, Thriller",111,Sean Penn,6.004,278,2.7274,0,0
The Juror,1996,"Thriller, Crime, Drama",118,Brian Gibson,5.657,421,4.773,44000000,22754725
The White Balloon,1995,"Drama, Family",85,Jafar Panahi,7.4,99,1.4573,0,0
Things to Do in Denver When You're Dead,1995,"Drama, Crime",116,Gary Fleder,6.447,412,3.5597,8000000,529766
Antonia's Line,1995,"Drama, Comedy",102,Marleen Gorris,6.944,134,3.8311,900000,0
Once Upon a Time... When We Were Colored,1996,"Romance, Drama",115,Tim Reid,3.6,5,0.7733,0,0
Last Summer in the Hamptons,1995,"Comedy, Drama",108,Henry Jaglom,5.5,4,0.7615,0,0
Angels and Insects,1995,"Drama, Romance",118,Philip Haas,6.1,55,2.5555,0,0
White Squall,1996,"Drama, Adventure",129,Ridley Scott,6.275,386,3.6983,38000000,10300000
Dunston Checks In,1996,"Family, Comedy, Adventure",88,Ken Kwapis,5.4,238,1.5788,16000000,0
Black Sheep,1996,Comedy,86,Penelope Spheeris,6.06,436,6.6462,32400000,32000000
Nick of Time,1995,"Thriller, Crime, Action",89,John Badham,6.234,768,3.1025,33000000,8175346
The Journey of August King,1995,Drama,91,John Duigan,6.7,15,1.2808,0,0
Mary Reilly,1996,"Drama, Horror, Thriller",108,Stephen Frears,5.8,330,8.2853,47000000,12379402
Vampire in Brooklyn,1995,"Comedy, Horror, Romance, Fantasy",102,Wes Craven,5.092,612,1.9125,14000000,19800000
Beautiful Girls,1996,"Comedy, Drama, Romance",112,Ted Demme,6.655,384,7.1589,16000000,27000000
Broken Arrow,1996,"Action, Thriller",108,John Woo,6.06,1600,6.9794,50000000,150300000
In the Bleak Midwinter,1995,Comedy,99,Kenneth Branagh,7.085,42,3.0259,0,0
La Haine,1995,Drama,98,Mathieu Kassovitz,8.1,4342,6.8389,2600000,15300000
Shopping,1994,"Crime, Drama, Action",105,Paul W. S. Anderson,5.321,56,1.6848,0,0
Heidi Fleiss: Hollywood Madam,1995,Documentary,106,Nick Broomfield,6.6,14,4.4684,0,0
City Hall,1996,"Drama, Thriller",111,Harold Becker,5.9,302,1.7945,40000000,33440204
Bottle Rocket,1996,"Comedy, Crime, Drama",91,Wes Anderson,6.7,1131,2.585,7000000,1040879
Mr. Wrong,1996,"Comedy, Romance",96,Nick Castle,3.968,62,3.1547,0,0
Unforgettable,1996,"Thriller, Mystery, Science Fiction",116,John Dahl,5.6,111,2.9836,18000000,0
Happy Gilmore,1996,Comedy,92,Dennis Dugan,6.675,3151,5.1214,12000000,41422354
The Bridges of Madison County,1995,"Drama, Romance",135,Clint Eastwood,7.7,2275,3.8842,24000000,182000000
Nobody Loves Me,1994,"Drama, Comedy, Family",104,Doris Dörrie,6.157,35,0.4724,0,0
Muppet Treasure Island,1996,"Family, Comedy, Adventure",99,Brian Henson,6.672,436,2.1881,31000000,34300000
Catwalk,1995,Documentary,95,Robert Leacock,7.5,8,1.517,0,0
Headless Body in Topless Bar,1995,Crime,110,James Bruce,3.0,5,0.4915,0,0
Braveheart,1995,"Action, Drama, History, War",178,Mel Gibson,7.9,10698,8.8809,72000000,213216216
Taxi Driver,1976,"Crime, Drama",114,Martin Scorsese,8.133,12978,8.8966,1900000,28579636
Rumble in the Bronx,1995,"Crime, Action, Comedy, Thriller",106,Stanley Tong Gwai-Lai,6.814,1102,3.2961,7500000,76028558
Before and After,1996,"Crime, Drama, Mystery",108,Barbet Schroeder,5.907,204,1.503,35000000,8797839
Margaret's Museum,1995,Drama,114,Mort Ransen,6.346,13,1.5305,0,0
Happiness Is in the Field,1995,Comedy,106,Étienne Chatiliez,6.799,169,0.8562,13365000,0
Anne Frank Remembered,1995,Documentary,117,Jon Blair,7.7,23,1.4096,0,0
The Young Poisoner's Handbook,1995,"Comedy, Crime, Drama",99,Benjamin Ross,6.587,52,0.4704,0,0
If Lucy Fell,1996,"Comedy, Romance",92,Eric Schaeffer,5.322,59,3.4215,5000000,2420162
Steal Big Steal Little,1995,"Comedy, Drama",113,Andrew Davis,4.3,22,0.5093,25000000,6278139
Race the Sun,1996,"Adventure, Comedy, Drama",100,Charles T. Kanganis,5.094,64,0.8297,0,0
The Boys of St. Vincent,1994,"Drama, Crime",93,John N. Smith,7.19,42,4.8454,0,204540
Boomerang,1992,"Comedy, Romance",117,Reginald Hudlin,5.64,599,3.588,40000000,131052444
Chungking Express,1994,"Drama, Comedy, Romance",103,Wong Kar-Wai,7.972,2047,6.2461,160000,0
The Star Maker,1995,"Drama, Romance",113,Giuseppe Tornatore,7.1,187,0.9395,0,0
Flirting with Disaster,1996,Comedy,93,David O. Russell,6.2,261,2.4495,7000000,14702438
The NeverEnding Story III,1994,"Family, Fantasy, Adventure, Comedy",95,Peter MacDonald,4.467,410,2.0894,17000000,0
The Silences of the Palace,1994,Drama,124,Moufida Tlatli,6.409,23,1.7461,0,0
Jupiter's Wife,1995,Documentary,87,Michel Negroponte,7.1,7,0.1847,0,0
Pie in the Sky,1996,"Comedy, Romance",95,Bryan Gordon,6.6,13,3.5583,0,0
Angela,1996,Drama,99,Rebecca Miller,5.463,27,1.61,0,0
Frankie Starlight,1995,"Drama, Romance, War",101,Michael Lindsay-Hogg,5.036,14,5.2645,0,0
Jade,1995,"Mystery, Thriller",95,William Friedkin,5.463,283,2.657,50000000,9851610
Nueba Yol,1995,"Comedy, Drama, Romance",102,Ángel Muñiz,4.8,6,5.8852,0,0
Sonic Outlaws,1995,"Music, Documentary",87,Craig Baldwin,7.4,5,0.2675,0,0
Down Periscope,1996,Comedy,92,David S. Ward,6.4,494,5.9835,0,37553585
From the Journals of Jean Seberg,1995,Documentary,97,Mark Rappaport,5.8,6,0.2323,0,0
Man of the Year,1995,Comedy,86,Dirk Shafer,2.786,7,1.2233,0,209935
The Neon Bible,1995,Drama,92,Terence Davies,6.02,25,0.691,0,0
Target,1995,Drama,122,Sandip Ray,0.0,0,0.2114,0,0
Up Close & Personal,1996,"Drama, Romance",119,Jon Avnet,6.267,231,1.5962,60000000,100688562
The Birdcage,1996,Comedy,119,Mike Nichols,7.0,1253,2.1543,31000000,185300000
Shadows,1988,Drama,101,Jerzy Kaszubowski,7.6,4,3.1855,0,0
Virgin Mary,1995,Drama,125,Jakov Sedlar,4.1,8,3.4946,0,0
The Brothers McMullen,1995,"Comedy, Drama, Romance",98,Edward Burns,5.995,95,1.1154,25000,19326506
Bad Boys,1995,"Action, Comedy, Crime, Thriller",119,Michael Bay,6.824,6707,9.2862,19000000,141407024
The Amazing Panda Adventure,1995,"Adventure, Drama, Family",84,Christopher Cain,5.6,93,5.8214,0,7506759
The Basketball Diaries,1995,"Drama, Crime",102,Scott Kalvert,7.402,2114,3.0462,2000000,2381087
An Awfully Big Adventure,1995,"Romance, Drama, Comedy",113,Mike Newell,6.541,68,1.3853,4000000,851545
Amateur,1994,"Crime, Comedy, Drama, Thriller",105,Hal Hartley,6.192,99,1.0375,0,0
Apollo 13,1995,"Drama, History",140,Ron Howard,7.4,5672,6.8128,52000000,355237933
Rob Roy,1995,"Adventure, History, Drama, Action, War",139,Michael Caton-Jones,6.703,681,1.8358,28000000,31600000
The Addiction,1995,"Drama, Horror",82,Abel Ferrara,6.457,301,5.3061,0,302393
Batman Forever,1995,"Action, Crime, Fantasy",121,Joel Schumacher,5.448,5410,5.2966,100000000,336529144
Belle de Jour,1967,"Drama, Romance",101,Luis Buñuel,7.32,973,3.8321,0,0
Beyond Rangoon,1995,"Drama, Thriller",100,John Boorman,6.5,82,1.7758,23000000,14700000
Blue in the Face,1995,Comedy,83,Wayne Wang,6.511,176,3.6535,2000000,1300000
Canadian Bacon,1995,Comedy,91,Michael Moore,5.732,235,2.3678,11000000,178104
Casper,1995,"Fantasy, Comedy, Family",100,Brad Silberling,6.332,4787,5.8468,50000000,287928194
Clockers,1995,"Crime, Drama, Mystery",128,Spike Lee,6.693,339,2.621,25000000,13100000
Congo,1995,"Action, Adventure, Science Fiction",109,Frank Marshall,5.579,939,2.0124,50000000,152022101
Crimson Tide,1995,"Thriller, Action, Drama, War",116,Tony Scott,7.18,1898,3.0006,53000000,157387195
Crumb,1994,Documentary,120,Terry Zwigoff,7.507,269,1.4977,0,3041083
Desperado,1995,"Thriller, Action, Crime",104,Robert Rodriguez,6.923,3017,5.6151,7000000,25405445
Devil in a Blue Dress,1995,"Thriller, Crime, Mystery",102,Carl Franklin,6.456,436,3.1212,27000000,16140822
Die Hard: With a Vengeance,1995,"Action, Thriller",128,John McTiernan,7.273,6415,4.9768,90000000,366101666
The Doom Generation,1995,"Comedy, Crime, Drama",83,Gregg Araki,6.5,295,2.5038,800000,284785
Feast of July,1995,"Drama, Crime",116,Christopher Menaul,5.545,11,0.8477,0,0
First Knight,1995,"Action, Adventure, Drama, Romance",134,Jerry Zucker,6.105,1288,8.5103,55000000,127600435
Free Willy 2: The Adventure Home,1995,"Family, Adventure, Drama, Comedy",95,Dwight H. Little,5.927,604,2.4327,31000000,30077111
Hackers,1995,"Action, Crime, Thriller, Drama",107,Iain Softley,6.385,1391,2.8524,20000000,7563728
Jeffrey,1995,"Comedy, Drama, Romance",92,Christopher Ashley,6.201,67,4.0523,0,3487767
Johnny Mnemonic,1995,"Science Fiction, Action, Adventure",97,Robert Longo,5.763,1453,5.9588,25000000,19075720
Judge Dredd,1995,"Science Fiction, Action",96,Danny Cannon,5.847,2614,2.9608,90000000,113493481
Jury Duty,1995,"Comedy, Drama",88,John Fortenberry,4.3,126,2.5934,0,17014653
Kids,1995,"Drama, Crime",91,Larry Clark,6.896,1220,5.1555,1500000,20412216
Living in Oblivion,1995,Comedy,90,Tom DiCillo,7.2,305,2.4143,500000,1148752
Lord of Illusions,1995,"Horror, Fantasy, Drama",109,Clive Barker,5.943,361,3.965,0,13294594
Love & Human Remains,1994,"Comedy, Drama",100,Denys Arcand,5.7,45,5.0052,0,0
Mad Love,1995,"Drama, Romance",95,Antonia Bird,5.168,119,3.5473,0,15453274
Mallrats,1995,"Romance, Comedy",94,Kevin Smith,6.8,1315,5.3404,6000000,2122561
Mighty Morphin Power Rangers: The Movie,1995,"Action, Adventure, Science Fiction, Fantasy",95,Bryan Spicer,5.861,737,2.8023,15000000,66433194
Moonlight and Valentino,1995,"Comedy, Drama, Romance",100,David Anspaugh,5.5,79,2.3081,0,2484226
Mute Witness,1995,"Thriller, Horror, Crime",95,Anthony Waller,6.4,149,7.3842,0,0
Nadja,1995,"Horror, Thriller",93,Michael Almereyda,5.5,54,1.9445,0,0
The Net,1995,"Crime, Drama, Mystery, Thriller, Action",114,Irwin Winkler,6.034,1448,3.6996,22000000,110627965
Nine Months,1995,"Romance, Comedy",103,Chris Columbus,5.705,680,2.245,35000000,138500000
Party Girl,1995,"Comedy, Drama, Romance",94,Daisy von Scherler Mayer,6.375,85,1.644,150000,472370
The Prophecy,1995,"Horror, Fantasy, Thriller, Action, Crime, Drama, Mystery",98,Gregory Widen,6.497,536,5.8866,8000000,16115878
Reckless,1995,"Fantasy, Comedy, Drama",91,Norman René,6.4,7,1.3858,0,0
Safe,1995,Drama,119,Todd Haynes,6.949,325,2.6056,1000000,512558
The Scarlet Letter,1995,"Drama, Romance",135,Roland Joffé,6.111,500,5.1854,50000000,10382407
The Show,1995,Documentary,93,Brian Robbins,6.4,10,3.9835,0,2702578
Showgirls,1995,Drama,131,Paul Verhoeven,5.578,1320,4.6604,45000000,20367472
Smoke,1995,"Comedy, Drama",112,Wayne Wang,7.2,510,0.9388,7000000,8349430
Something to Talk About,1995,"Comedy, Drama",106,Lasse Hallström,5.6,247,2.9089,30000000,77300000
Species,1995,"Science Fiction, Horror, Action",108,Roger Donaldson,5.974,1757,3.6942,35000000,113400000
The Stars Fell on Henrietta,1995,Drama,109,James Keach,6.1,17,1.3477,0,0
Strange Days,1995,"Crime, Drama, Science Fiction, Thriller",145,Kathryn Bigelow,6.999,1458,2.3713,42000000,7959291
The Umbrellas of Cherbourg,1964,"Drama, Romance",92,Jacques Demy,7.4,849,2.0687,200000,7600000
The Tie That Binds,1995,"Thriller, Crime",99,Wesley Strick,4.8,26,2.269,14000000,5830454
Three Wishes,1995,"Fantasy, Family, Drama",115,Martha Coolidge,6.2,81,2.2911,10000000,7027000
Total Eclipse,1995,"Drama, Romance",111,Agnieszka Holland,6.433,541,3.3758,0,339889
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,"Comedy, Drama",108,Beeban Kidron,7.4,721,2.9088,0,47774193
Under Siege 2: Dark Territory,1995,"Action, Thriller",99,Geoff Murphy,5.842,971,2.4758,60000000,104324083
Unstrung Heroes,1995,"Comedy, Drama, Family",93,Diane Keaton,5.9,29,5.2813,0,0
Unzipped,1995,Documentary,73,Douglas Keeve,5.2,18,3.1512,0,0
A Walk in the Clouds,1995,"Drama, Romance",103,Alfonso Arau,7.358,1088,3.9623,20000000,50012507
Waterworld,1995,"Adventure, Action, Science Fiction",135,Kevin Reynolds,6.2,3898,6.9152,175000000,264218220
White Man's Burden,1995,Drama,89,Desmond Nakano,5.144,84,1.9983,7000000,9000000
Wild Bill,1995,"Western, Action, Drama, History",98,Walter Hill,5.71,164,4.9941,30000000,2193982
The Browning Version,1994,Drama,97,Mike Figgis,6.5,56,3.8749,0,487391
Bushwhacked,1995,"Adventure, Family, Comedy, Action",90,Greg Beeman,5.379,125,7.1249,0,7919823
Burnt by the Sun,1994,Drama,135,Nikita Mikhalkov,6.987,193,2.1276,2800000,2616503
Before the Rain,1994,"Drama, War",113,Milcho Manchevski,7.3,173,2.5642,0,763847
Before Sunrise,1995,"Drama, Romance",101,Richard Linklater,8.0,4470,8.0662,2500000,5987386
Billy Madison,1995,Comedy,90,Tamra Davis,6.182,1729,8.6642,10000000,26488734
The Babysitter,1995,"Drama, Thriller",90,Guy Ferland,5.188,176,1.8167,0,0
Boys on the Side,1995,"Comedy, Drama",115,Herbert Ross,6.364,243,2.7048,21000000,23450000
The Cure,1995,"Drama, Family",97,Peter Horton,7.921,335,4.8263,0,2568235
Castle Freak,1996,"Thriller, Drama, Horror, Mystery",90,Stuart Gordon,6.107,233,2.5417,0,0
Circle of Friends,1995,"Drama, Romance",103,Pat O'Connor,6.2,93,1.7306,15000000,45000000
Clerks,1994,Comedy,92,Kevin Smith,7.4,2642,4.8552,27575,3151130
Don Juan DeMarco,1994,"Romance, Drama, Comedy",97,Jeremy Leven,6.7,775,2.1649,25000000,68792531
Disclosure,1994,"Thriller, Drama, Crime",128,Barry Levinson,6.256,1230,5.0307,55000000,214015089
Dream Man,1995,"Thriller, Fantasy",94,René Bonnière,3.214,7,4.7232,0,0
Drop Zone,1994,"Action, Thriller, Crime",101,John Badham,5.705,435,1.5909,45000000,62000000
Destiny Turns on the Radio,1995,"Crime, Comedy, Fantasy",103,Jack Baran,4.978,45,1.8274,0,1200000
Death and the Maiden,1994,"Drama, Thriller",103,Roman Polanski,7.105,531,1.6496,12000000,8003716
Dolores Claiborne,1995,"Crime, Drama, Mystery",132,Taylor Hackford,7.3,832,1.6398,13000000,46400000
Dumb and Dumber,1994,Comedy,107,Peter Farrelly,6.639,6454,7.4388,16000000,247275374
Eat Drink Man Woman,1994,"Comedy, Drama, Romance",123,Ang Lee,7.6,378,2.7903,0,24194403
Exotica,1994,Drama,104,Atom Egoyan,6.6,373,3.3891,2000000,4221036
Exit to Eden,1994,"Comedy, Crime, Thriller",114,Garry Marshall,4.1,95,1.5555,27500000,6800000
Ed Wood,1994,"Comedy, Drama, History",127,Tim Burton,7.483,2432,4.9434,18000000,5900000
French Kiss,1995,"Comedy, Romance",111,Lawrence Kasdan,6.456,766,1.9797,0,101982854
Forget Paris,1995,"Comedy, Drama, Romance",101,Billy Crystal,6.3,159,4.0762,0,33177694
Far from Home: The Adventures of Yellow Dog,1995,"Action, Adventure, Drama, Family",81,Phillip Borsos,6.152,92,3.6839,0,0
A Goofy Movie,1995,"Adventure, Comedy, Romance, Animation, Family",78,Kevin Lima,7.006,1857,4.2407,18000000,35348597
Hideaway,1995,"Drama, Thriller, Horror",103,Brett Leonard,5.225,167,0.7604,15000000,12201255
Fluke,1995,"Drama, Adventure, Family",96,Carlo Carlei,7.096,272,3.1532,15000000,4000000
Farinelli,1994,"History, Drama, Music",111,Gérard Corbiau,6.575,179,5.7378,0,0
Gordy,1995,"Drama, Family, Fantasy",90,Mark Lewis,5.3,32,2.6872,0,3992809
Gumby: The Movie,1995,"Fantasy, Animation, Family, Music, Adventure",77,Art Clokey,5.5,17,2.7356,2800000,57100
The Glass Shield,1994,"Drama, Action, Thriller, Crime",109,Charles Burnett,4.933,45,2.2575,5000000,3291163
Hoop Dreams,1994,Documentary,174,Steve James,7.601,318,3.6313,700000,7830611
Heavenly Creatures,1994,"Drama, Fantasy",109,Peter Jackson,6.97,984,3.5863,5000000,3049135
Houseguest,1995,Comedy,109,Randall Miller,5.441,76,10.47,10500000,26300000
Immortal Beloved,1994,"Drama, Music, Romance",121,Bernard Rose,7.076,356,5.8262,120,0
Heavyweights,1995,"Family, Comedy",97,Steven Brill,6.2,397,8.1281,10000000,17700000
The Hunted,1995,"Action, Drama, Thriller",110,J.F. Lawton,5.7,118,5.5605,15000000,6600000
I.Q.,1994,"Comedy, Drama, Romance",100,Fred Schepisi,6.02,469,3.803,25000000,26381221
Interview with the Vampire,1994,"Horror, Drama, Fantasy",123,Neil Jordan,7.381,6185,7.2004,60000000,223664608
Jefferson in Paris,1995,"Drama, Romance, History",139,James Ivory,5.033,45,1.6894,14000000,2474000
The Jerky Boys,1995,"Comedy, Crime",82,James Melkonian,4.152,33,3.4647,0,0
Junior,1994,"Comedy, Science Fiction",109,Ivan Reitman,5.2,1575,4.0072,60000000,108400000
Just Cause,1995,"Action, Drama, Mystery, Thriller",102,Arne Glimcher,6.247,598,4.8944,0,36853222
A Kid in King Arthur's Court,1995,"Adventure, Fantasy, Comedy, Family",89,Michael Gottlieb,5.0,185,1.617,0,0
Kiss of Death,1995,"Crime, Thriller, Drama",101,Barbet Schroeder,5.68,344,1.6215,40000000,14942422
Star Wars,1977,"Adventure, Action, Science Fiction",121,George Lucas,8.204,21647,14.9483,11000000,775398007
Little Women,1994,"Drama, Romance",119,Gillian Armstrong,7.3,1285,5.8374,18000000,50083616
A Little Princess,1995,"Drama, Family, Fantasy",97,Alfonso Cuarón,7.618,1012,2.999,17000000,10000000
Ladybird Ladybird,1994,Drama,101,Ken Loach,7.215,100,4.6224,0,0
Torment,1994,"Drama, Thriller",102,Claude Chabrol,6.8,261,4.6879,10000000,39003
Like Water for Chocolate,1992,"Drama, Romance",105,Alfonso Arau,7.278,539,6.1392,2000000,21744201
Legends of the Fall,1994,"Drama, Western, Romance, War, Action",133,Edward Zwick,7.383,2748,7.8143,30000000,160638883
Major Payne,1995,"Adventure, Comedy, Family",95,Nick Castle,6.441,850,5.3083,0,30112050
Little Odessa,1994,"Drama, Crime",98,James Gray,6.393,219,4.4213,0,0
Mi Vida Loca,1994,"Crime, Drama",92,Allison Anders,6.6,35,1.4282,0,3267313
Love Affair,1994,"Drama, Romance",108,Glenn Gordon Caron,5.4,60,4.8166,60000000,18300000
Losing Isaiah,1995,Drama,106,Stephen Gyllenhaal,6.5,102,8.5561,17000000,7603766
The Madness of King George,1994,"Comedy, Drama, History",107,Nicholas Hytner,6.773,249,4.0251,0,15238994
Mary Shelley's Frankenstein,1994,"Drama, Horror, Science Fiction, Romance",123,Kenneth Branagh,6.438,1307,8.6854,45000000,112000000
Man of the House,1995,"Comedy, Family",96,James Orr,5.3,179,4.5807,0,0
Mixed Nuts,1994,"Comedy, Drama, Romance",97,Nora Ephron,5.361,212,2.3584,15000000,0
Milk Money,1994,"Comedy, Romance, Drama",108,Richard Benjamin,6.377,297,5.6311,0,18137661
